GEOID,impervious
060377009024,0.0
060377010002,0.0
060372319011,0.0
060372324021,0.0
060372324022,0.0
060372360012,0.0
060372361022,0.0
060377013022,0.0
060377015011,0.0
060377015013,0.0
060377015021,0.0
060377015022,0.0
060377016011,0.0
060377016012,0.0
060377016013,0.0
060377016021,0.0
060790100172,0.0
060070004032,0.0
060070016023,0.0
060730105024,0.0
060730106011,0.0
060070009044,0.0
060730108001,0.0
060730126004,0.0
060730127001,0.0
060730128001,0.0
060730128002,0.0
060730130004,0.0
060871106011,0.0
060871222051,0.0
060871008011,0.0
060871010021,0.0
060871010023,0.0
060871218021,0.0
060871222041,0.0
060871008022,0.0
060871215012,0.0
060871106012,0.0
060871009002,0.0
060871224021,0.0
060590756063,0.0
060871225004,0.0
060871105061,0.0
060871105041,0.0
060871106021,0.0
060871215013,0.0
060871215021,0.0
060871214021,0.0
060871215011,0.0
060871217013,0.0
060871220052,0.0
060871220051,0.0
060871217022,0.0
060871217012,0.0
060871218012,0.0
060871222053,0.0
060871222042,0.0
060871224022,0.0
060871218022,0.0
060871218011,0.0
060871104021,0.0
060590761024,0.0
060730109001,0.0
060730109002,0.0
060730110001,0.0
060730110002,0.0
060730111001,0.0
060730111002,0.0
060790127061,0.0
060790127054,0.0
060790103012,0.0
060790115053,0.0
060790109041,0.0
060790112011,0.0
060790112012,0.0
060790112021,0.0
060790111053,0.0
060790115051,0.0
060790123051,0.0
060790117062,0.0
060790124061,0.0
060790124031,0.0
060790116003,0.0
060790122012,0.0
060790117061,0.0
060790117043,0.0
060790120023,0.0
060790117051,0.0
060790120011,0.0
060790123052,0.0
060790122022,0.0
060790123054,0.0
060790123053,0.0
060790123024,0.0
060790124062,0.0
060790124063,0.0
060790113005,0.0
060790111041,0.0
060790115052,0.0
060790131002,0.0
060790123061,0.0
060790100173,0.0
060790124052,0.0
060790124041,0.0
060790124043,0.0
060790124032,0.0
060790124044,0.0
060790124042,0.0
060790124051,0.0
060790100163,0.0
060790102061,0.0
060790105061,0.0
060790119044,0.0
060790103013,0.0
060790100171,0.0
060790103022,0.0
060790102071,0.0
060790120022,0.0
060790126012,0.0
060790105052,0.0
060790126011,0.0
060790123062,0.0
060790126021,0.0
060790120021,0.0
060790119031,0.0
060790122021,0.0
060790105051,0.0
060790103032,0.0
060790103021,0.0
060790119042,0.0
060790102062,0.0
060790127071,0.0
060790131003,0.0
060790103031,0.0
060790103011,0.0
060790119041,0.0
060790125034,0.0
060790109033,0.0
060790131005,0.0
060790122011,0.0
060790131001,0.0
060790127081,0.0
060790127053,0.0
060790127051,0.0
060790126013,0.0
060790127063,0.0
060790127052,0.0
060790105062,0.0
060377010004,0.0
060377010005,0.0
060376707011,0.0
060730134151,0.0
060650402032,0.0
060650403022,0.0
060650403023,0.0
060871104023,0.0
060871220041,0.0
060871212003,0.0
060871205003,0.0
060871202003,0.0
060871010011,0.0
060730134161,0.0
060730134162,0.0
060690002001,0.0
060730134171,0.0
060730134181,0.0
060690007011,0.0
060690004005,0.0
060690001001,0.0
060374091003,0.0
060372343012,0.0
060372316012,0.0
060372316031,0.0
060372340011,0.0
060372343011,0.0
060374091001,0.0
060372340012,0.0
060372362051,0.0
060372060511,0.0
060372316032,0.0
060372313011,0.0
060372318004,0.0
060372313021,0.0
060372360011,0.0
060375326073,0.0
060375326072,0.0
060372754003,0.0
060372756043,0.0
060375300073,0.0
060372718041,0.0
060372699032,0.0
060375510023,0.0
060375436052,0.0
060375437042,0.0
060376701012,0.0
060376701022,0.0
060376701021,0.0
060375780004,0.0
060372093003,0.0
060375436051,0.0
060375731012,0.0
060375731022,0.0
060375437052,0.0
060375777002,0.0
060375437043,0.0
060375743006,0.0
060375727004,0.0
060379203261,0.0
060371439011,0.0
060371897032,0.0
060371851021,0.0
060371904011,0.0
060371895012,0.0
060374806022,0.0
060371431011,0.0
060371433022,0.0
060378003241,0.0
060371413061,0.0
060374310031,0.0
060373116021,0.0
060371434012,0.0
060378003243,0.0
060371434021,0.0
060371397052,0.0
060371287042,0.0
060378002051,0.0
060371433011,0.0
060373019011,0.0
060373116022,0.0
060378003382,0.0
060374019011,0.0
060374019012,0.0
060374019021,0.0
060374019022,0.0
060374019024,0.0
060376704061,0.0
060374033201,0.0
060374033202,0.0
060374033212,0.0
060374047022,0.0
060374047023,0.0
060374317014,0.0
060371862012,0.0
060374317015,0.0
060374641023,0.0
060371437003,0.0
060374317012,0.0
060374042032,0.0
060374048061,0.0
060372111242,0.0
060372080022,0.0
060372626012,0.0
060374036013,0.0
060372149041,0.0
060374049011,0.0
060374049012,0.0
060374814031,0.0
060374048041,0.0
060374048043,0.0
060378001041,0.0
060374036014,0.0
060372015014,0.0
060377005023,0.0
060374814043,0.0
060374325021,0.0
060371061123,0.0
060372611023,0.0
060374017062,0.0
060374049021,0.0
060374049031,0.0
060374065004,0.0
060374066011,0.0
060374066012,0.0
060374066013,0.0
060790111052,0.0
060730134182,0.0
060730134184,0.0
060730135031,0.0
060730135032,0.0
060730135033,0.0
060730135041,0.0
060730135042,0.0
060133551151,0.0
060133072023,0.0
060730135051,0.0
060790127062,0.0
060790109042,0.0
060790102072,0.0
060790101041,0.0
060790119043,0.0
060790102023,0.0
060790101031,0.0
060790101033,0.0
060790131004,0.0
060790127073,0.0
060790112022,0.0
060790101042,0.0
060790101032,0.0
060790127072,0.0
060790126014,0.0
060790109032,0.0
060790111051,0.0
060790109031,0.0
060372653071,0.0
060372163021,0.0
060374335053,0.0
060374064135,0.0
060372626045,0.0
060374819022,0.0
060374068013,0.0
060374068011,0.0
060372145051,0.0
060377008014,0.0
060371998012,0.0
060372657023,0.0
060372657022,0.0
060372653061,0.0
060374048062,0.0
060372118023,0.0
060372145041,0.0
060374331031,0.0
060374026021,0.0
060373117002,0.0
060373117003,0.0
060373117006,0.0
060373118012,0.0
060373118021,0.0
060373118022,0.0
060376704071,0.0
060376704072,0.0
060376704073,0.0
060372699082,0.0
060378003384,0.0
060371413032,0.0
060371413051,0.0
060371255022,0.0
060379200282,0.0
060371395061,0.0
060371343053,0.0
060371175103,0.0
060375731021,0.0
060375727003,0.0
060375777003,0.0
060375436071,0.0
060375731011,0.0
060375780002,0.0
060375731013,0.0
060372941201,0.0
060376509042,0.0
060375712012,0.0
060372932041,0.0
060375551062,0.0
060376030071,0.0
060376022021,0.0
