Unnamed: 0,GEOID,Longitude,Latitude,LST_Celsius,impervious,Geographic Area Name,Total,Total_Urban,Total_Rural,PercentageUrban
717,60710097181,-117.2442107,34.46098911,48.11633333,37.23333333333333,Block Group 1; Census Tract 97.18; San Bernardino County; California,1919,1919,0,100.0
718,60710100412,-117.3665189,34.41807634,46.37622951,28.066666666666663,Block Group 2; Census Tract 100.41; San Bernardino County; California,2630,2630,0,100.0
719,60710100152,-117.3297003,34.44573813,47.53551724,31.7,Block Group 2; Census Tract 100.15; San Bernardino County; California,1700,1700,0,100.0
720,60710104331,-116.0630548,34.14279903,50.34666667,15.979166666666666,Block Group 1; Census Tract 104.33; San Bernardino County; California,1858,1858,0,100.0
721,60710104332,-116.0476108,34.14663286,50.14292308,18.4,Block Group 2; Census Tract 104.33; San Bernardino County; California,1336,1336,0,100.0
722,60710023152,-117.4597031,34.14213969,44.77063492,38.65625,Block Group 2; Census Tract 23.15; San Bernardino County; California,2337,2337,0,100.0
723,60710020441,-117.5405295,34.13063113,42.50333333,60.375,Block Group 1; Census Tract 20.44; San Bernardino County; California,2338,2338,0,100.0
724,60710020442,-117.5354635,34.12515783,42.86770492,62.375,Block Group 2; Census Tract 20.44; San Bernardino County; California,2358,2358,0,100.0
725,60710020412,-117.5241197,34.14242373,42.07065574,40.72549019607843,Block Group 2; Census Tract 20.41; San Bernardino County; California,2658,2658,0,100.0
726,60710023142,-117.4788968,34.14061489,45.27258065,29.58620689655172,Block Group 2; Census Tract 23.14; San Bernardino County; California,3884,3884,0,100.0
727,60710027081,-117.4450189,34.14130075,43.96076923,56.53333333333333,Block Group 1; Census Tract 27.08; San Bernardino County; California,3245,3245,0,100.0
728,60710027082,-117.4444799,34.14647004,43.96076923,50.90909090909091,Block Group 2; Census Tract 27.08; San Bernardino County; California,3152,3152,0,100.0
729,60710100281,-117.2822138,34.43233282,47.75952381,14.235294117647058,Block Group 1; Census Tract 100.28; San Bernardino County; California,1749,1749,0,100.0
730,60710104292,-116.4085092,34.11657371,46.10645161,14.224489795918368,Block Group 2; Census Tract 104.29; San Bernardino County; California,1888,1888,0,100.0
731,60710100351,-117.3178963,34.47655733,48.14438596,30.620689655172413,Block Group 1; Census Tract 100.35; San Bernardino County; California,1991,1991,0,100.0
732,60710100382,-117.3037361,34.48172406,47.95655172,35.42857142857143,Block Group 2; Census Tract 100.38; San Bernardino County; California,2039,2039,0,100.0
733,60710100331,-117.2931764,34.41647913,47.81222222,30.96551724137931,Block Group 1; Census Tract 100.33; San Bernardino County; California,2002,2002,0,100.0
734,60710097211,-117.1990059,34.48932314,48.06433333,19.875,Block Group 1; Census Tract 97.21; San Bernardino County; California,2411,2411,0,100.0
735,60710097212,-117.1950041,34.47845563,48.24366667,24.375,Block Group 2; Census Tract 97.21; San Bernardino County; California,1650,1650,0,100.0
736,60710100323,-117.2999345,34.40769067,47.75066667,27.17391304347826,Block Group 3; Census Tract 100.32; San Bernardino County; California,3047,3047,0,100.0
737,60710100381,-117.3035951,34.4744512,47.95655172,44.36111111111112,Block Group 1; Census Tract 100.38; San Bernardino County; California,2697,2697,0,100.0
738,60710023081,-117.4471566,34.13273421,44.603125,33.642857142857146,Block Group 1; Census Tract 23.08; San Bernardino County; California,1764,1764,0,100.0
