GEOID,Geographic Area Name,Total,Total_Urban,Total_Rural,PercentageUrban
60710017061,Block Group 1; Census Tract 17.06; San Bernardino County; California,2258,2258,0,100
60710017062,Block Group 2; Census Tract 17.06; San Bernardino County; California,930,930,0,100
60710017063,Block Group 3; Census Tract 17.06; San Bernardino County; California,779,779,0,100
60710017064,Block Group 4; Census Tract 17.06; San Bernardino County; California,2292,2292,0,100
60710017071,Block Group 1; Census Tract 17.07; San Bernardino County; California,2218,2218,0,100
60710017072,Block Group 2; Census Tract 17.07; San Bernardino County; California,1343,1343,0,100
60710017073,Block Group 3; Census Tract 17.07; San Bernardino County; California,2006,2006,0,100
60710018031,Block Group 1; Census Tract 18.03; San Bernardino County; California,2639,2639,0,100
60710018032,Block Group 2; Census Tract 18.03; San Bernardino County; California,601,601,0,100
60710018041,Block Group 1; Census Tract 18.04; San Bernardino County; California,2908,2908,0,100
60710018042,Block Group 2; Census Tract 18.04; San Bernardino County; California,1983,1983,0,100
60710018043,Block Group 3; Census Tract 18.04; San Bernardino County; California,1567,1567,0,100
60710018061,Block Group 1; Census Tract 18.06; San Bernardino County; California,1498,1498,0,100
60710018062,Block Group 2; Census Tract 18.06; San Bernardino County; California,1304,1304,0,100
60710018063,Block Group 3; Census Tract 18.06; San Bernardino County; California,1726,1726,0,100
60710018081,Block Group 1; Census Tract 18.08; San Bernardino County; California,1932,1932,0,100
60710018082,Block Group 2; Census Tract 18.08; San Bernardino County; California,1238,1238,0,100
60710018083,Block Group 3; Census Tract 18.08; San Bernardino County; California,1170,1170,0,100
60710018091,Block Group 1; Census Tract 18.09; San Bernardino County; California,1434,1434,0,100
60710018092,Block Group 2; Census Tract 18.09; San Bernardino County; California,2125,2125,0,100
60710018093,Block Group 3; Census Tract 18.09; San Bernardino County; California,944,944,0,100
60710018101,Block Group 1; Census Tract 18.10; San Bernardino County; California,1671,1671,0,100
60710018102,Block Group 2; Census Tract 18.10; San Bernardino County; California,1477,1477,0,100
60710018103,Block Group 3; Census Tract 18.10; San Bernardino County; California,1413,1413,0,100
60710018121,Block Group 1; Census Tract 18.12; San Bernardino County; California,2031,2031,0,100
60710018122,Block Group 2; Census Tract 18.12; San Bernardino County; California,1780,1780,0,100
60710018131,Block Group 1; Census Tract 18.13; San Bernardino County; California,1750,1750,0,100
