GEOID,Latitude,Longitude
060133211013,-122.10667244117849,37.99065956662123
060133211033,-122.12489126680626,37.98711140833879
060650453022,-116.22923325244,33.73128552846694
060650453023,-116.22099377585974,33.7312951376237
060650455011,-116.2273436869683,33.7111403503337
060650455012,-116.22952030798676,33.70382557675566
060816031001,-122.48295220957468,37.60741737968902
060014446022,-122.00453170440598,37.5083281959474
060816032001,-122.49619137723887,37.58914203480391
060816032002,-122.50194115195781,37.592059009669676
060816032003,-122.49951256208873,37.595423650091654
060816033003,-122.48467701520843,37.57401039041069
060816053001,-122.3569388623695,37.58319548501733
060816053002,-122.35990026991551,37.580738642560284
060816053004,-122.36952274747068,37.58289986142248
060133553021,-122.00881502579969,37.92540761767699
060133553022,-122.00596614192855,37.9181956329912
060133553062,-121.94346393939873,37.94115662848816
060133553065,-121.92510881996559,37.9277299668464
060650451151,-116.3810328618809,33.706419914274626
060310010011,-119.66032676396762,36.33407776141066
060310010021,-119.66458640756919,36.323908386968895
060310010023,-119.67563617226563,36.315747477967086
060816034002,-122.46408737663214,37.57752535637133
060816034003,-122.47072161190854,37.58803299380609
060730208061,-116.88039568790514,33.04897001980199
060730208062,-116.87240550274039,33.0244613081595
060310014021,-119.5626743969848,36.094537464769786
060310015001,-119.57656619237922,36.10944697503738
060310015003,-119.56859273945973,36.10163565967898
060310015004,-119.56855947990617,36.09447643349223
060310016013,-119.82224642456367,36.18846451846855
060590117222,-117.87487495731058,33.864894098063324
060590117223,-117.85827067675294,33.8672630928821
060590218021,-117.81862886327346,33.88439490987535
060590218024,-117.82049298912145,33.89649425877533
060590218162,-117.79276489928839,33.8790712262951
060650455021,-116.22845057218193,33.724323464511656
060590218171,-117.78437349777988,33.86784762017549
060590218172,-117.78543318949055,33.874923646528956
060590218202,-117.83362682497427,33.876500143176905
060590218211,-117.83839886149141,33.87203223440046
060690002003,-121.6299990160801,36.878808627874264
060690003003,-121.4153156999369,36.85501550552401
060690007012,-121.41989858688432,36.85102575486741
060690004006,-121.40072134125586,36.843045164386474
060690008021,-120.96995009866008,36.527707952582226
060690001002,-121.38201898567097,36.88916036569659
060690004003,-121.40445941319234,36.842523585394844
060690003001,-121.42563269555706,36.855240321131184
060590218212,-117.83110427991743,33.86593795213125
060590218231,-117.78145595715303,33.89697309207768
060590218301,-117.76073428095856,33.88365075237003
060590218302,-117.76818491122347,33.881351507249185
060590219031,-117.80378677204654,33.85365623208845
060816039003,-122.41925303149428,37.611731827530086
060816039004,-122.41769236717926,37.61684164448252
060590219032,-117.82101823404383,33.85050526223754
060590219033,-117.82860100833794,33.84716596842485
060590219151,-117.79833313367743,33.84811975381985
060590219161,-117.80330758496916,33.84097052612266
060590219172,-117.77274419377629,33.79844534498468
060816039005,-122.41972095315585,37.61816023901634
060816039006,-122.42512462339911,37.611498553647984
060590626372,-117.71894702254758,33.57455918505819
060590421094,-117.5897570564741,33.4455349189146
060590525113,-117.79614322946534,33.685201546634765
060590868013,-117.97813551179028,33.842777435020274
060590630061,-117.8962635417329,33.60656570904355
060591104021,-117.9891778971641,33.843024670967395
060590320394,-117.65556139673464,33.56846989119803
060590761031,-117.90190359190824,33.790699585333016
060379201091,-118.55341488845266,34.45283355412302
060590421134,-117.60970605025717,33.43250133073705
